semafororo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento
069,Av. Gov. Agamenon Magalhães,Rua Paissandú,Derby,-8.062396,-34.897553,E/Git,Veic.C/Ped.Paral.
070,Rua Jean Emile Favre,Rua Saturnino Meireles,Imbiribeira,-8.113264,-34.922089,E,Veicular
071,Rua Joaquim Nabuco,Rua das Creoulas,Derby,-8.052473,-34.899471,E/Git,Veicular
072,Av. Sul,Sob Viaduto de 5 Pontas,São José,-8.072364,-34.880475,E,Ocasional/Ped.
073,Rua Nicolau Pereira ,Rua da Paz,Afogados ,-8.079545,-34.904337,E/Git,Veicular
074,Estrada do Arraial,Rua da Harmonia,Casa Amarela,-8.027477,-34.913859,E/Git,Veic.C/Ped.
075,Av. Gov. Agamenon Magalhães,Av. Carlos de Lima Cavalcante,Derby,-8.056709,-34.897924,E/Git,Veicular
076,Cais de Santa Rita,Em frente ao Armazém 16,São José,-8.069600,-34.875396,E/Git,Veicular
077,Av. Beira Rio,Prox. Ponte da Torre,Torre,-8.046546,-34.904220,E/Git,Ocasional/Ped.
078,Av. Gov. Agamenon Magalhães,Rua Buenos Aires,Derby,-8.048678,-34.892940,E/Git,Veicular
079,Av. Norte Miguel Arraes de Alencar,Rua Córrego do Bartolomeu,Casa Amarela,-8.024091,-34.911926,E/Git,Veicular
080,Av. Caxangá,Av. Gal. San Martin,Cordeiro,-8.050447,-34.921077,E/Git,Veicular
081,Av. Norte Miguel Arraes de Alencar,Av. Santos Dumont,Rosarinho,-8.033536,-34.896475,E/Git,Veicular
082,Av. Dr. José Rufino,Rua João Teixeira,Estância,-8.084694,-34.928126,E/Git,Veic.C/Ped.Ocas.
083,Av. Manoel Borba,Rua das Ninfas,Boa Vista,-8.059303,-34.891310,E/Git,Veicular
084,Av. Boa Viagem,Av. Armindo Moura,Boa Viagem,-8.151128,-34.907787,E/Git,Veic.C/Ped.Paral.
085,Av. Recife,Rua Cap. Estevão Fernandes,Vila Cardeal,-8.092779,-34.929265,E/Git,Ocasional/Ped.
086,Rua Barão de Itamaracá,Rua do Espinheiro,Espinheiro,-8.043457,-34.893356,E/Git,Veicular
087,Rua Imperial,Rua Lourenço de Sá,São José,-8.076207,-34.895181,E,Veicular
088,Av. Maurício de Nassau,Rua Nossa Senhora da Saúde,Cordeiro,-8.040724,-34.927190,E,Veicular
089,Av. João de Barros,Rua do Espinheiro,Espinheiro,-8.041333,-34.891432,E/Git,Veicular
090,Rua da Aurora,Av. Mário Melo,Boa Vista,-8.056323,-34.877953,E,Veic.C/Ped.
091,Rua Falcão de Lacerda,Em frente à Igreja de Tejipió,Tejipió,-8.093354,-34.963753,E,Ocasional/Ped.
092,Rua do Hospício,Rua do Riachuelo,Boa Vista,-8.059149,-34.883491,E/Git,Veicular
093,Rua Álvares de Azevedo,Rua Gouveia de Barros,Santo Amaro,-8.049570,-34.888670,E,Veicular
094,Estrada de Belém,Rua Prudente de Moraes,Campo Grande,-8.032989,-34.884563,E,Veicular
095,Av. Norte Miguel Arraes de Alencar,Largo D. Luiz,Casa Amarela,-8.021323,-34.917489,E/Git,Veicular
096,Av. Norte Miguel Arraes de Alencar,Rua da Mangabeira,Mangabeira,-8.025589,-34.906581,E/Git,Veicular
097,Av. Norte Miguel Arraes de Alencar,Em frente a Paróquia de São Sebastião,Santo Amaro,-8.043957,-34.882417,E/Git,Veic.C/Ped.Ocas.
098,Av. Santos Dumont,Rua Dr. José Maria,Rosarinho,-8.035649,-34.897487,E/Git,Veicular
099,Av. Cons. Rosa e Siva,Rua Barão de contendas,Aflitos,-8.041708,-34.898009,E/Git,Ocasional/Ped.
100,Estrada Velha do Bongi,Rua Cosme Viana,Bongi,-8.068287,-34.909790,E,Veicular
101,Rua Jean Emile Favre,Rua Blumenau,Ipsep,-8.109943,-34.918273,E,Veicular
102,Av. Rui Barbosa,Rua das Creoulas,Graças,-8.049903,-34.898007,E/Git,Veicular
103,Av. Antônio de Góis,Rua Manoel de Brito,Pina,-8.085444,-34.886685,E/Git,Veicular
104,Av. Boa Viagem,Av. Herculano Bandeira,Pina,-8.091769,-34.882053,E/Git,Veic.C/Ped.Paral.
105,Av. Boa Viagem,Rua Thomé Gibson,Boa Viagem,-8.099740,-34.884436,E/Git,Veic.C/Ped.Paral.
106,Rua Real da Torre,Rua Conde de Irajá,Torre,-8.046317,-34.909548,E/Git,Veicular
107,Av. 17 de Agosto,Estrada do Arraial,Casa Forte,-8.027788,-34.927156,E/Git,Veicular
108,Av. Gov. Agamenon Magalhães,Em frente à DRT,Santo Amaro,-8.043536,-34.887514,E/Git,Ocasional/Ped.
109,Av. Maurício de Nassau,Próx. Rua Santa Lúcia,Iputinga,-8.039282,-34.929594,E,Ocasional/Ped.
110,Av. Boa Viagem,Rua Pereira da Costa,Pina,-8.095900,-34.883112,E/Git,Ocasional/Ped.
111,Rua Itanagé,Rua Blumenau,Ipsep,-8.106442,-34.921326,E,Veicular
112,Av. Boa Viagem,Rua Padre Carapuceiro,Boa Viagem,-8.120273,-34.895078,E/Git,Ocasional/Ped.
113,Av. Boa Viagem,Rua Ernesto de Paula Santos,Boa Viagem,-8.125274,-34.897142,E/Git,Veic.C/Ped.Paral.
114,Av. Conselheiro Aguiar,Rua Cel.Benedito Chaves,Boa Viagem,-8.128354,-34.900410,E/Git,Veicular
115,Av. Conselheiro Aguiar,Rua Padre Carapuceiro,Boa Viagem,-8.119519,-34.896599,E/Git,Veicular
116,Av. Mascarenhas de Morais,Em frente ao Nº 4728,Imbiribeira,-8.125339,-34.915160,E/Git,Ocasional/Ped.
117,Av. Boa Viagem,3º Jardim,Boa Viagem,-8.108815,-34.888605,E/Git,Ocasional/Ped.
118,Av. Boa Viagem,1º Jardim,Boa Viagem,-8.101374,-34.885168,E/Git,Ocasional/Ped.
119,Av. Boa Viagem,Rua Ondina,Pina,-8.094196,-34.882681,E/Git,Ocasional/Ped.
120,Av. Boa Viagem,Rua Bruno Veloso,Boa Viagem,-8.121939,-34.895997,E/Git,Veic.C/Ped.Paral.
121,Av. Boa Viagem,Rua do Atlântico,Boa Viagem,-8.098279,-34.883756,E/Git,Ocasional/Ped.
122,Av. Frei Matias Teves,Rua Dr. João Ásfora,Ilha do Leite,-8.063672,-34.896197,E/Git,Veic.C/Ped.
123,Av. Boa Viagem,Rua Benvinda de Farias,Boa Viagem ,-8.111829,-34.889969,E/Git,Veic.C/Ped.Paral.
124,Av. Boa Viagem,2º Jardim,Boa Viagem ,-8.104509,-34.886665,E/Git,Ocasional/Ped.
125,Av. Conselheiro Aguiar,Rua Padre Bernadino Pessoa,Boa Viagem ,-8.114538,-34.893663,E/Git,Veicular
126,Av. Rui Barbosa,Rua Esmeraldino Bandeira,Graças,-8.047637,-34.899890,E/Git,Veicular
127,Av. Conselheiro Aguiar,Rua Ernesto de Paula Santos,Boa Viagem,-8.124892,-34.899121,E/Git,Veicular
128,Av. Domingos Ferreira,Rua Cel. Benedito Chaves,Boa Viagem,-8.127933,-34.901425,E/Git,Veicular
129,Av. Visconde de Jequitinhonha,Rua Barão de Souza Leão,Boa Viagem,-8.131572,-34.902889,E/Git,Veicular
130,Av. Recife,Rua Jean Emile Favre,Ipsep,-8.115394,-34.924526,E/Git,Veicular
131,Av. Beberibe,Av. Prof. José dos Anjos,Arruda,-8.027954,-34.892919,E/Git,Veicular
132,Av. Abdias de Carvalho,Rua João Ivo,Madalena,-8.062088,-34.909676,E/Git,Veicular
133,Av. Conselheiro Aguiar,Após a Rua Souto Filho,Pina,-8.092824,-34.883905,E/Git,Ocasional/Ped.
134,Av. Mário Álvares de Lyra,Rua Prof. Joaquim Xavier de Brito,Iputinga,-8.046993,-34.936048,E/Git,Veic.C/Ped.
135,Rua Jean Emile Favre,Av. Costa e Silva,Vila do Ipsep,-8.115302,-34.922666,E/Git,Veicular
136,Rua Paula Batista,Rua Nereu Guerra,Casa Amarela,-8.025550,-34.915383,E/Git,Veicular
137,Av. Herculano Bandeira,Rua Miranda Falcão,Pina,-8.088874,-34.885203,E/Git,Ocasional/Ped.
138,Av. Herculano Bandeira,Av. Conselheiro Aguiar,Pina,-8.090466,-34.883615,E/Git,Veicular
139,Av. Domingos Ferreira,Rua Benvinda de Farias,Boa Viagem,-8.110533,-34.892364,E/Git,Ocasional/Ped.
140,Av. Conselheiro Aguiar,Rua Pereira da Costa,Pina,-8.095521,-34.884655,E/Git,Veicular
141,Av. Dantas Barreto,Rua Siqueira Campos,Santo Antonio,-8.062692,-34.878243,E/Git,Veicular
142,Av. Domingos Ferreira,Rua Pereira da Costa,Boa Viagem,-8.095197,-34.885913,E/Git,Veicular
143,Av. Conselheiro Aguiar,Rua Henrique Capitulino,Boa Viagem,-8.109665,-34.890672,E/Git,Veicular
144,Av. Domingos Ferreira,Rua Padre Bernadino Pessoa,Boa Viagem,-8.114084,-34.894511,E/Git,Veicular
145,Av. Domingos Ferreira,Rua Antônio Falcão,Boa Viagem,-8.115744,-34.895531,E/Git,Veicular
146,Av. Conselheiro Aguiar,Rua Bruno Veloso,Boa Viagem,-8.121770,-34.897939,E/Git,Veicular
147,Av. Conselheiro Aguiar,Rua Ribeiro de Brito,Boa Viagem,-8.123740,-34.898664,E/Git,Veicular
148,Av. Boa Viagem,Rua Prof. Mário de Castro,Boa Viagem,-8.137039,-34.901918,E/Git,Veic.C/Ped.Paral.
149,Av. Boa Viagem,Rua Baltazar Passos,Boa Viagem,-8.145063,-34.905147,E/Git,Veic.C/Ped.Paral.
150,Av. Boa Viagem,Rua Cel. Antônio Veloso,Boa Viagem,-8.148817,-34.906892,E/Git,Ocasional/Ped.
151,Av. Lins Pettit,Em frente Praça Chora Menino,Boa Vista,-8.060402,-34.894791,E/Git,Ocasional/Ped.
152,Av. Boa Viagem,Rua Benedito Chaves,Boa Viagem ,-8.129072,-34.898562,E/Git,Ocasional/Ped.
153,Av. Beberibe,Próx. Rua São Joaquim do Monte,Água Fria ,-8.017012,-34.891978,E,Ocasional/Ped.
154,Av. Visconde de Jequitinhonha,Rua Baltazar Passos,Setúbal,-8.144380,-34.906482,E/Git,Veicular
155,Av. Domingos Ferreira,Rua Ribeiro de Brito,Boa Viagem,-8.123574,-34.899789,E/Git,Veicular
156,Av. Dr. José Rufino,Em frente ao Colégio Castelo Branco,Tejipió,-8.091613,-34.949282,E,Ocasional/Ped.
157,Rua Aprígio Guimarães,Rua Paulino de Farias,Coqueiral,-8.087151,-34.965569,E,Veicular
158,Av. Visconde de Jequitinhonha,Rua Prof. Mário de Castro,Setúbal,-8.136528,-34.903513,E/Git,Veicular
159,Rua Barão de Souza Leão,Rua Sá e Souza,Boa Viagem,-8.132055,-34.906769,E/Git,Veic.C/Ped.Ocas.
160,Rua dos Navegantes,Rua Bruno Veloso,Boa Viagem,-8.121887,-34.896770,E/Git,Veic.C/Ped.Ocas.
161,Av. Mascarenhas de Morais,Rua Jean Emile de Favre,Imbiribeira,-8.106314,-34.911444,E/Git,Ocasional/Ped.
162,Av. Conde da Boa Vista,Rua da Aurora,Boa Vista,-8.062052,-34.881642,E/Git,Veic.C/Ped.
163,Av. Dantas Barreto,Rua Nova,Santo Antonio,-8.064378,-34.878424,E/Git,Pedestre
164,Av. Martins de Barros,Praça da República,Santo Antonio,-8.061638,-34.876530,E,Veicular
165,Cais do Apolo,Av. Marquez de Olinda,Recife Antigo,-8.063737,-34.874422,E/Git,Veicular
166,Rua do Espinheiro,Rua 48,Recife Antigo,-8.042306,-34.892561,E/Git,Veicular
167,Rua Princesa Isabel,Rua da União,Boa Vista,-8.059131,-34.880605,E/Git,Pedestre
168,Rua Princesa Isabel,Rua da Saudade,Boa Vista,-8.058763,-34.881174,E/Git,Veicular
169,Av. Manoel Borba,Rua Gervásio Pires,Boa Vista,-8.061105,-34.887367,E/Git,Veicular
170,Rua do Príncipe,Em frente à UNICAP,Boa Vista,-8.055811,-34.887862,E,Ocasional/Ped.
171,Av. Cruz Cabugá,Av. Mário Melo,Santo Amaro,-8.053960,-34.881592,E/Git,Veicular
172,Av. Visconde de Suassuna,Rua 13 de Maio,Santo Amaro,-8.053779,-34.884434,E/Git,Veicular
173,Av. Gov. Agamenon Magalhães,Rua Dr. Bandeira Filho,Derby,-8.051467,-34.895077,E/Git,Veicular
174,Av. Gov. Agamenon Magalhães,Rua Dom Bosco,Derby,-8.053390,-34.896415,E/Git,Veicular
175,Rua do Riachuelo,Rua Gervásio Pires,Boa Vista,-8.058313,-34.885652,E/Git,Veicular
176,Rua do Príncipe,Rua Bispo Cardoso Aires,Boa Vista,-8.056649,-34.886316,E/Git,Veicular
177,Rua Amélia,Rua do Futuro,Graças,-8.045157,-34.898335,E/Git,Veicular
178,Rua Amélia,Rua Antônio Novaes,Graças,-8.044977,-34.900298,E/Git,Ocasional/Ped.
179,Rua José Osório,Rua Real da Torre,Madalena,-8.053547,-34.908646,E/Git,Veicular
180,Rua da Concórdia,Rua de São João,São José,-8.069743,-34.882977,E/Git,Veicular
181,Av. Dantas Barreto,Rua do Peixoto,São José,-8.071401,-34.883221,E/Git,Veicular
182,Rua da Concórdia ,Rua do Peixoto,São José,-8.070961,-34.883875,E/Git,Veicular
183,Av. Fernando Simões Barbosa,Rua Jack Aires,Boa Viagem,-8.119451,-34.901152,E/Git,Veic.C/Ped.Ocas.
184,Rua Barão de Itamaracá,Rua da Hora,Espinheiro,-8.043834,-34.892819,E/Git,Veicular
185,Av. Gal. San Martin,Rua Próx. Clotilde de Oliveira,Cordeiro,-8.052688,-34.922385,E,Ocasional/Ped.
186,Av. Beberibe,Rua Coragem,Encruzilhada,-8.036111,-34.891244,E/Git,Veicular
187,Av. Beberibe,Rua da Regeneração,Água Fria ,-8.018510,-34.893277,E,Veicular
188,Av. Santos Dumont,Rua do Futuro,Rosarinho,-8.040902,-34.900096,E/Git,Veicular
189,Rua Dom Manoel de Medeiros,Em frente ao LAFEPE,Dois Irmãos,-8.015859,-34.943677,E,Ocasional/Ped.
190,Av. Boa Viagem,Rua Frei Leandro Camelo,Boa  Viagem,-8.146655,-34.905891,E/Git,Ocasional/Ped.
191,Rua José Bonifácio,Rua Conde de Irajá,Torre,-8.046004,-34.907050,E/Git,Veicular
192,Rua Real da Torre,Rua D. Manoel da Costa,Torre,-8.047506,-34.909150,E/Git,Veicular
193,Rua José Bonifácio,Rua Padre Anchieta,Torre,-8.047199,-34.906653,E/Git,Veicular
194,Av. Martins de Barros,Rua 1º de Março,Santo Antonio,-8.064105,-34.876370,E/Git,Veicular
195,Rua Amélia,Rua do Espinheiro,Espinheiro,-8.045854,-34.895336,E/Git,Veicular
196,Av. Alfredo Lisboa,Rua Vital de Oliveira,Bairro do Recife,-8.060701,-34.870413,E,Ocasional/Ped.
197,Rua do Sol,Em frente ao Liceu de Artes de PE,Santo Antonio,-8.061107,-34.879324,E,Ocasional/Ped.
198,Av. João de Barros,Rua Leopoldo Lins ,Santo Amaro,,,E,Veicular
199,Rua de São João,Rua do Forte,São José,-8.071082,-34.880603,E,Ocasional/Ped.
200,Av. Domingos Ferreira,Rua Thomé Gibson,Boa Viagem,-8.098758,-34.886600,E/Git,Veicular
201,Estrada de Belém,Rua Antônio Rangel,Campo Grande,-8.035682,-34.888540,E,Veicular
202,Av. Cruz Cabugá,Rua Dna. Maria de Souza,Santo Antonio,-8.040833,-34.872134,E/Git,Veic.C/Ped.Ocas.
203,Av. Nossa Senhora do Carmo,Rua do Imperador,Santo Antonio,-8.066141,-34.876680,E/Git,Veic.C/Ped.Ocas.
204,Av. Nossa Senhora do Carmo,Av. Martins de Barros,Santo Antonio,-8.066107,-34.876245,E/Git,Veicular
205,Av. Sul(Pista principal),Antes do Viaduto Joana Bezerra,Afogados,-8.076835,-34.894778,E/Git,Ocasional/Ped.
206,Rua do Imperador,Rua Siqueira Campos,Santo Antonio,-8.062875,-34.876975,E/Git,Veicular
207,Rua Imperial ,Rua do Peixoto,São José,-8.071997,-34.882352,E/Git,Veicular
208,Av. Dr. José Rufino,Rua Itaenga,Tejipió,-8.090837,-34.951214,E,Veic.C/Ped.Ocas.
209,Rua Dr. José Mariano,Rua Velha,Santo Antonio,-8.064781,-34.885037,E,Veicular
210,Rua da Aurora,Rua da Imperatriz,Santo Antonio,-8.063454,-34.882531,E/Git,Pedestre
211,Av. Sul(corredor de ônibus),Antes do Viaduto Joana Bezerra,Afogados,-8.076928,-34.894710,E/Git,Ocasional/Ped.
212,Av. Recife,Av. Presidente Kennedy,Areias,-8.103319,-34.927649,E/Git,Veic.C/Ped.Ocas.
213,Av. Dr. José Rufino,Rua Domingos Teotônio,Barro,-8.092925,-34.941609,E,Ocasional/Ped.
214,Av. Conselheiro Rosa e Silva,Av. Dr. Malaquias,Rosarinho,-8.038142,-34.900583,E/Git,Veicular
215,Rua do Futuro,Av. Dr. Malaquias,Rosarinho,-8.038757,-34.901782,E/Git,Veicular
216,Av. Domingos Ferreira,Rua Padre Carapuceiro,Boa Viagem,-8.119076,-34.897531,E/Git,Veicular
217,Av. Domingos Ferreira,Rua Ernesto de Paula Santos,Boa Viagem,-8.124700,-34.900211,E/Git,Veicular
218,Av. Mascarenhas de Morais,Rua Barão de Souza Leão,Imbiribeira,-8.132591,-34.916230,E,Ocasional/Ped.
219,Rua Odete Monteiro,Em frente a Escola Munic. Darcy Ribeiro,Cordeiro,-8.045980,-34.920842,E,Ocasional/Ped.
220,Av. Manoel Borba,Rua da Soledade,Boa Vista,-8.059565,-34.890071,E/Git,Veicular
221,Rua Gervásio Pires,Rua Barão de São Borja,Boa Vista,-8.062029,-34.887929,E/Git,Veicular
222,Rua da Soledade,Rua Oliveira Lima,Boa Vista,-8.056245,-34.889896,E/Git,Veicular
223,Rua Padre Roma,Rua do Futuro,Tamarineira,-8.033814,-34.905615,E/Git,Veic.C/Ped.
224,Rua Dom Manoel de Medeiros,Em frente a entrada da UFRPE,Dois Irmãos,-8.016905,-34.951408,E,Ocasional/Ped.
225,Av. Mascarenhas de Morais,Av. General Mac. Arthur,Imbiribeira,-8.108870,-34.911830,E/Git,Veic.C/Ped.
226,Av. Antônio de Góis,Av. Cons. Aguiar,Pina,-8.089550,-34.882736,E/Git,Veicular
227,Rua Antônio Falcão,Rua Francisco da Cunha,Boa Viagem,-8.115157,-34.896684,E/Git,Veicular
228,Av. Caxangá,Est BRT Engenho Poeta (Sub/Cid),Várzea,-8.034520,-34.950005,E/Git,Ocasional/Ped.
229,Av. Caxangá,Rua São Mateus,Iputinga,-8.041579,-34.937045,E/Git,Veicular
230,Av. Caxangá,Rua Prof. Chaves Batista,Iputinga,-8.037541,-34.944343,E/Git,Veicular
231,Av. Caxangá,Rua General Polidoro,Iputinga,-8.036979,-34.945456,E/Git,Veicular
232,Av. Caxangá,Rua Rodrigues Ferreira,Cordeiro,-8.032096,-34.954246,E/Git,Veicular
233,Rua Carlos Gomes,Estrada do Bongi,Bongi,-8.066040,-34.914151,E/Git,Veicular
234,Av. Caxangá,Rua Inácio Monteiro,Cordeiro,-8.045539,-34.929875,E/Git,Veicular
235,Av. Caxangá,Rua Cláudio Brotherhood,Cordeiro,-8.046686,-34.927879,E/Git,Veicular
236,Av. Caxangá,Rua Gregório Jr.,Cordeiro,-8.051658,-34.918898,E/Git,Veicular
237,Rua Real da Torre,Em frente ao Colégio Joaquim Távora,Madalena,-8.055776,-34.909047,E/Git,Ocasional/Ped.
238,Av. Beberibe,Rua Frederico,Encruzilhada,-8.034461,-34.891581,E/Git,Veicular
239,Rua São Mateus,Av. Maurício de Nassau,Iputinga,-8.036687,-34.935337,E,Veic.C/Ped.Ocas.
240,Av. Cons. Aguiar,Rua Frei Leandro,Boa Viagem,-8.102537,-34.887433,E/Git,Ocasional/Ped.
241,Av. Cons. Aguiar,Rua Des. João Paes,Boa Viagem,-8.126841,-34.899838,E/Git,Ocasional/Ped.
242,Estrada dos Remédios,Rua Nicolau Pereira,Afogados,-8.075989,-34.907286,E,Veicular
